source_id,document_name,local_path,indexed_in_current_rag,source_unit,stable_source_url,document_type,publication_or_revision_date,acquired_at,last_verified_at,license_or_terms,may_summarize,may_publicly_display,may_be_used_for_rag_answer,applicable_audience_scope,high_risk_or_expert_review,recommended_status,status_reason,supported_topics,risk_level,reuse_basis
cmas_global_standards_catalog,CMAS International Diver Training Standards and Procedures Manual catalog,data/raw/external/cmas_global_training_catalog.html,yes,CMAS,https://www.cmas.org/standards.html,official training-standard catalogue,unknown,2026-09-18,2026-09-19,"CMAS states that standards are its exclusive property; cite/link only and do not copy or modify",link_only,link_only,link_only,"CMAS snorkeling and scuba training-standard catalogue; not an individual assessment",yes,僅可引用連結,"Official catalogue is traceable, but current individual standards require login and the stated copyright excludes copying or modification."
cmas_tw_diving_safety,中華民國水中運動協會－安全潛水守則,data/raw/external/cmas_tw_diving_safety_rules.html,yes,中華民國水中運動協會,https://www.cmas.tw/modules/neilmfdcms/mfdcmscenter.php?centerid=132,official association guidance webpage,unknown,2026-09-18,2026-09-19,"Webpage snapshot; no explicit reuse licence recorded",link_only,link_only,link_only,"General recreational diving context; not medical, rescue, certification, or site-specific advice",yes,僅可引用連結,"May be linked as an association source, but no permission supports copying the webpage or treating it as an official legal/safety determination."
cmas_tw_snorkeling,中華民國水中運動協會－浮潛三寶,data/raw/external/cmas_tw_snorkeling_essentials.html,yes,中華民國水中運動協會,https://www.cmas.tw/modules/neilmfdcms/mfdcmscenter.php?centerid=133,education material webpage,unknown,2026-09-18,2026-09-19,"Webpage snapshot; no explicit reuse licence recorded",link_only,link_only,link_only,"Introductory snorkeling equipment terminology only",yes,僅可引用連結,"Can only be cited or linked until reuse permission and currency are confirmed; it cannot replace instruction or local assessment."
cmas_tw_training,中華民國水中運動協會－CMAS 潛水教學基準與要求事項,data/raw/external/cmas_tw_training_requirements.html,yes,中華民國水中運動協會,https://www.cmas.tw/modules/neilmfdcms/mfdcmscenter.php?centerid=131,training requirements webpage,unknown,2026-09-18,2026-09-19,"Webpage snapshot; no explicit reuse licence recorded",link_only,link_only,link_only,"Taiwan CMAS training-reference context; not proof of an individual's qualification",yes,僅可引用連結,"The page may be linked, but the project has no recorded permission to reproduce or operationalize its curriculum requirements."
iai_connection_tutorial,NKUST iAI API connection tutorial,data/raw/external/iai_connection_tutorial.txt,yes,User-provided Google document link,https://docs.google.com/document/d/1BaG1DVN6YbeyDoT4Z0uw_ocCa71txZB-fNgA4LZ0Cso/edit,technical document,unknown,2026-09-18,2026-09-19,"User-provided link; redistribution permission not recorded",no,no,no,"Internal API connection and credential handling; unrelated to diving knowledge",no,排除,"Not a floating, diving, legal, health, or conservation source; must not enter a future public knowledge interface."
kenting_current_prohibitions,墾丁國家公園岸際海域遊憩活動禁止事項,data/raw/external/kenting_current_prohibitions.html,yes,墾丁國家公園管理處,https://www.ktnp.gov.tw/cp.aspx?n=a19bc236dae01941&s=12AED0688767E7CF,official current management webpage,unknown,2026-09-18,2026-09-19,"Official webpage snapshot; link and cite, current validity must be checked before use",link_only,link_only,link_only,"Kenting-specific management context only",yes,僅可引用連結,"Dynamic, location-specific restrictions require the current competent authority notice; it cannot establish the status of any other place."
kenting_current_water_recreation_plan,修正墾丁國家公園水域遊憩活動管理方案（114 年 6 月內政部核定版）,data/raw/external/kenting_current_water_recreation_plan.html,yes,墾丁國家公園管理處,https://www.ktnp.gov.tw/cp.aspx?n=FA9BBE6DDF732116&s=D2B8BE05FF169D0B,official current management webpage,unknown,2026-09-18,2026-09-19,"Official webpage snapshot; link and cite, current validity must be checked before use",link_only,link_only,link_only,"Kenting-specific management context only",yes,僅可引用連結,"May identify an authority and source link only; effective scope, maps, amendments, and local notices still require current human review."
kenting_houbihu_prohibition,後壁湖港航道西側禁止自由潛水活動公告,data/raw/external/kenting_houbihu_freediving_prohibition.html,yes,墾丁國家公園管理處,https://www.ktnp.gov.tw/News_Content4.aspx?n=3D7C9BFC4F86BF4A&s=5CB2BE4BA6514BA8&sms=CBE2AF4E776CBCD5,official notice snapshot,unknown,2026-09-18,2026-09-19,"Official notice snapshot; link and cite, current validity must be checked before use",link_only,link_only,link_only,"Named Kenting location and activity only",yes,僅可引用連結,"A location-specific announcement cannot be generalized, paraphrased as nationwide advice, or used without rechecking its effective status."
mpa_legal_framework,海洋保護區管理與法規架構,data/raw/external/mpa/mpa_legal_framework.html,yes,海洋委員會海洋保育署,https://mpa.oca.gov.tw/ProtectedManageAffair.aspx,official legal-framework webpage,unknown,2026-09-18,2026-09-19,"Official webpage snapshot; link and cite; zone-specific terms require separate verification",link_only,link_only,link_only,"General protected-area governance context",yes,僅可引用連結,"It identifies governing authorities but is not a current zone rule, activity permission, or site-specific legal conclusion."
mpa_diver_certification_reference_external,附件五：自由潛水與水肺潛水證照等級參考表,data/raw/external/mpa_diver_certification_reference.pdf,yes,海洋委員會海洋保育署,https://mpa.oca.gov.tw/Files/Knowledge/8348bde932804901a2655e6f333ff739.pdf,public PDF reference,unknown,2026-09-18,2026-09-19,"Source report and reuse terms not verified in the project",no,no,no,"Comparison-reference context only; not certification issuance criteria",yes,待確認,"Public URL is traceable, but publication context, currentness, and reuse terms need confirmation before any summary or RAG answer."
south_sea_biodiversity_report,南方四島海洋保護區生物多樣性調查報告,data/raw/external/reference/south_sea_biodiversity_survey_report.pdf,yes,海洋委員會海洋保育署,https://mpa.oca.gov.tw/Files/Knowledge/f3b99c82a5a04d7b81fef7b646d13803.pdf,official research report,unknown,2026-09-18,2026-09-19,"Report reuse terms not verified in the project",no,no,no,"Historical survey context and methods; not current species visibility or visitor guidance",yes,待確認,"Requires reuse review and subject-matter review; historical research observations must not become current ecological claims."
vocational_diving_exam,09800 職業潛水丙級試題,data/raw/provided/09800職業潛水丙級試題.pdf,yes,User-provided copy,,exam material,unknown,2026-09-18,2026-09-19,"User-provided; copyright and reuse permission not recorded",no,no,no,"Occupational-diving examination context; not recreational training standard",yes,排除,"Exam questions and answer cues are not a formal recreational standard and must not be reproduced or used to teach, grade, or infer competence."
cmas_instructor_manual_2023,CMAS 教練手冊 2023 中文版,data/raw/provided/CMAS教練手冊2023中文版.pdf,yes,User-provided CMAS manual,,training manual,unknown,2026-09-18,2026-09-19,"User-provided; CMAS copyright and redistribution permission not verified",no,no,no,"Instructor-training terminology and curriculum context only",yes,待確認,"High-stakes training content; no verified permission to reproduce, summarize for public use, or use in RAG answers."
visual_notes,visual_notes.md,data/raw/provided/visual_notes.md,yes,Project-derived from user images,,derived notes,2026-09-18,2026-09-18,2026-09-19,"Derived from user-provided images; underlying source and reuse rights are not established",no,no,no,"Internal visual inventory only",yes,排除,"Not an independent authoritative source and cannot support a public knowledge claim."
dangerous_waters_report,危險海域劃設原則之研究,data/raw/provided/危險海域劃設原則研究報告.pdf,yes,User-provided copy,,research report,unknown,2026-09-18,2026-09-19,"User-provided; publication source and reuse permission not recorded",no,no,no,"Risk-management research background; not real-time or site-specific safety information",yes,待確認,"Needs original publisher, version, methodology, and reuse verification; cannot supply an activity recommendation or current risk determination."
mpa_diver_certification_reference_provided,海保署證照等級參考原始下載.pdf,data/raw/provided/海保署證照等級參考原始下載.pdf,yes,User-provided duplicate of Marine Conservation Administration PDF,https://mpa.oca.gov.tw/Files/Knowledge/8348bde932804901a2655e6f333ff739.pdf,public PDF reference,unknown,2026-09-18,2026-09-19,"Duplicate of the traceable public PDF; source report and reuse terms not verified in the project",no,no,no,"Comparison-reference context only; not certification issuance criteria",yes,待確認,"Same source-level restrictions as the external copy; retain only one future source record after rights and version review."
user_research_plan,珊瑚礁浮潛決策支援專題資料盤點與研究規劃,data/raw/provided/研究規劃原始文件.docx,yes,User-provided project document,,project planning document,unknown,2026-09-18,2026-09-19,"User-provided; no public reuse permission recorded",no,no,no,"Internal project scope, data governance, and research design",no,排除,"It defines project intent, not authoritative floating, diving, health, or legal knowledge for public answers."
water_recreation_management_regulations_current,水域遊憩活動管理辦法（現行官方版本）,,no,交通部觀光署,https://law.tad.gov.tw/MOTCTALRS/web_page/MOTCTALRS010200.jsp?LawLevel=%E6%B3%95%E8%A6%8F%E5%91%BD%E4%BB%A4&LawName=%E6%B0%B4%E5%9F%9F%E9%81%8A%E6%86%A9%E6%B4%BB%E5%8B%95%E7%AE%A1%E7%90%86%E8%BE%A6%E6%B3%95,regulation,2024-04-16,2026-09-19,2026-09-19,"Official current legal-information page; cite the official current version and do not treat it as a site-rule database",yes,link_only,yes,"General Taiwan water-recreation legal background only",yes,可用,"Official page records the latest version as 2024-04-16. Use only with a visible official citation, last-verified date, and a statement that local authority notices determine place-specific application."
oca_coral_reef_ecosystem,珊瑚礁生態系,,no,海洋委員會海洋保育署,https://www.oca.gov.tw/ch/home.jsp?id=176,official environmental education webpage,unknown,2026-09-19,2026-09-19,"OCA website data-open declaration applies OGL 1.0 to copyrightable website materials unless a specific item says otherwise; attribution required",yes,yes,yes,"General public coral-reef stewardship in Taiwan; not site rules or diving instruction",no,可用,"Supports only source-attributed general environmental stewardship such as avoiding contact, feeding, reef damage, and unnecessary waste; no named-site or safety conclusion.","海洋環境與生態友善行為",低,"https://www.oca.gov.tw/ch/home.jsp?id=60&parentpath=0%2C9 states OGL 1.0 with attribution, subject to stated exceptions; do not reuse images or specially marked works."
noaa_hands_to_yourself,Hands to yourself,,no,NOAA Office of National Marine Sanctuaries,https://sanctuaries.noaa.gov/wildlife-viewing/hands-to-yourself.html,official environmental education webpage,unknown,2026-09-19,2026-09-19,"NOAA National Ocean Service states its content is public domain unless otherwise noted; cite NOAA and do not imply endorsement",yes,yes,yes,"General wildlife-respect context for snorkelers and divers; not Taiwan law or activity instruction",no,可用,"Supports a short source-attributed statement to avoid touching or harassing coral and wildlife; exclude images, third-party media, local legal claims, and any safety guidance.","海洋環境與生態友善行為",低,"https://oceanservice.noaa.gov/about/faq.html states National Ocean Service content is public domain unless otherwise noted and asks users to credit NOAA."
noaa_shallow_coral_reef_habitat,Shallow Coral Reef Habitat,,no,NOAA Fisheries,https://www.fisheries.noaa.gov/national/habitat-conservation/shallow-coral-reef-habitat,official environmental information webpage,2026-07-08,2026-09-19,2026-09-19,"NOAA government web information is public domain unless specifically annotated otherwise; cite NOAA and do not reuse unverified images or imply endorsement",yes,yes,yes,"General coral-reef stewardship; environmental context only",no,可用,"Supports high-level source-attributed stewardship boundaries such as avoiding contact with coral and reducing sediment disturbance; not equipment technique, site conditions, or an activity recommendation.","海洋環境與生態友善行為；垃圾減量",低,"https://oceanservice.noaa.gov/about/faq.html states National Ocean Service content is public domain unless otherwise noted; this assessment excludes media and third-party content."
tourism_water_recreation_announcements,相關公告－水域遊憩活動管理辦法,,no,交通部觀光署,https://admin.taiwan.net.tw/BusinessInfo/Articles?a=1603,official announcement index,2026-08-12,2026-09-19,2026-09-19,"Dynamic official announcement index; use as a link to the competent authority, not as a static rule source",link_only,link_only,link_only,"General method for locating managing-authority announcements",yes,僅可引用連結,"The index demonstrates that applicable restrictions, prohibitions, suspensions, and notices are authority- and place-specific. It must not be summarized into a site conclusion.","一般行前準備；法規與活動責任的一般背景",高,"Official announcement index is a discovery link only; each linked current notice requires separate verification before any factual use."
noaa_florida_keys_responsible_diving,Tips For Being a Responsible Diver,,no,NOAA Florida Keys National Marine Sanctuary,https://floridakeys.noaa.gov/visitor_information/things-to-do/responsible-diving.html,official visitor guidance webpage,unknown,2026-09-19,2026-09-19,"NOAA public-domain policy may apply to government text, but this candidate is not adopted because its scope includes operational diving guidance",no,no,no,"Florida Keys visitor guidance",yes,排除,"Although it includes stewardship material, it also gives buoyancy, posture, equipment-adjustment, and activity-practice directions that are outside this task's low-risk scope.","海洋環境與生態友善行為；潛水操作",高,"Excluded by content scope, not by an attempt to reuse its text."
taitung_diving_tourism_page,台東自由潛水,,no,臺東縣政府交通及觀光發展處,https://tour.taitung.gov.tw/zh-tw/discover/diving,official tourism webpage,unknown,2026-09-19,2026-09-19,"No explicit reuse licence verified; page also contains location descriptions and activity-condition statements",no,no,no,"Taitung tourism information",yes,排除,"Contains location and weather-condition language that could be misread as a site recommendation or downwater decision; no verified reuse basis for public summarization.","一般行前準備；海洋環境",高,"Excluded because of scope and unverified reuse permission."
